idema,nombre,provincia_id,latitud,longitud,altitud
B825B,ES MERCADAL,7,39.9833,4.0833,80
B860X,CIUTADELLA,7,39.9833,3.85,20
B870C,"CIUTADELLA, CALA GALDANA",7,39.9333,3.95,43
B893,"MENORCA, AEROPUERTO",7,39.85,4.2,91
B908X,SANT JOAN DE LABRITJA,7,39.05,1.4833,110
B925,SANT ANTONI DE PORTMANY,7,38.95,1.3167,32
B954,"IBIZA, AEROPUERTO",7,38.8667,1.3833,6
B957,EIVISSA,7,38.9167,1.4333,3
B986,FORMENTERA,7,38.6833,1.45,24
C018J,TÍAS,35,28.9667,-13.6833,376
C019V,YAIZA PLAYA BLANCA,35,28.85,-13.8333,6
C029O,LANZAROTE AEROPUERTO,35,28.95,-13.6,14
C038N,HARÍA,35,29.1333,-13.4833,277
C048W,TINAJO,35,29.0333,-13.6667,275
C101A,ROQUE DE LOS MUCHACHOS,38,28.75,-17.8833,2223
C117A,PUNTAGORDA,38,28.75,-17.9833,684
C117Z,TIJARAFE,38,28.6667,-17.9333,733
C126A,EL PASO,38,28.65,-17.85,844
C129V,FUENCALIENTE,38,28.45,-17.8333,19
C129Z,TAZACORTE,38,28.5833,-17.9,62
C139E,LA PALMA AEROPUERTO,38,28.6167,-17.75,33
C148F,SAN ANDRÉS Y SAUCES,38,28.8,-17.7667,362
C229J,PÁJARA,35,28.0333,-14.35,15
C239N,"TUINEJE,PUERTO GRAN TARAJAL",35,28.2,-14.0167,1
C248E,ANTIGUA,35,28.4167,-14.0167,252
C249I,FUERTEVENTURA AEROPUERTO,35,28.4333,-13.85,25
C258K,LA OLIVA,35,28.6,-13.9167,217
C314Z,"VALLEHERMOSO, ALTO IGUALERO  ",38,28.1,-17.2333,1474
C316I,ARURE,38,28.1167,-17.3,916
C317B,AGULO,38,28.1667,-17.2,765
C319W,"VALLEHERMOSO, DAMA",38,28.05,-17.3,190
C328W,HERMIGUA,38,28.15,-17.1833,252
C329B,"LA GOMERA, AEROPUERTO",38,28.0167,-17.2,219
C329Z,SAN SEBASTIÁN DE LA GOMERA,38,28.0833,-17.1,15
C406G,"LA OROTAVA, CAÑADAS TEIDE",38,28.2167,-16.6167,2150
C412N,CITFAGRO_89_CHAVAO,38,28.2167,-16.7,2071
C415A,CITFAGRO_64_HOYOS,38,28.3,-16.8,990
C417J,CITFAGRO_74_CHIO,38,28.2333,-16.7833,735
C418I,CITFAGRO_05_GUIAISO1,38,28.2,-16.7833,476
